country,date_start,best,,,,
Ukraine,2022-03-17 00:00:00.000,3,,,,
Ukraine,2022-03-17 00:00:00.000,5,,,,
Ukraine,2022-03-17 00:00:00.000,2,,,,
Ukraine,2022-03-18 00:00:00.000,2,,,,
Ukraine,2022-03-18 00:00:00.000,1,,,,
Ukraine,2022-03-18 00:00:00.000,1,,,,
Ukraine,2022-03-19 00:00:00.000,1,,,,
Ukraine,2022-03-19 00:00:00.000,1,,,,
Ukraine,2022-03-19 00:00:00.000,1,,,,
Ukraine,2022-03-20 00:00:00.000,1,,,,
Ukraine,2022-03-20 00:00:00.000,1,,,,
Ukraine,2022-03-21 00:00:00.000,3,,,,
Ukraine,2022-03-21 00:00:00.000,1,,,,
Ukraine,2022-03-22 00:00:00.000,1,,,,
Ukraine,2022-03-22 00:00:00.000,1,,,,
Ukraine,2022-03-22 00:00:00.000,1,,,,
Ukraine,2022-03-23 00:00:00.000,20,,,,
Ukraine,2022-03-23 00:00:00.000,3,,,,
Ukraine,2022-03-23 00:00:00.000,1,,,,
Ukraine,2022-03-24 00:00:00.000,2,,,,
Ukraine,2022-03-24 00:00:00.000,1,,,,
Ukraine,2022-03-24 00:00:00.000,2,,,,
Ukraine,2022-03-25 00:00:00.000,1,,,,
Ukraine,2022-03-25 00:00:00.000,1,,,,
Ukraine,2022-03-25 00:00:00.000,2,,,,
Ukraine,2022-03-25 00:00:00.000,1,,,,
Ukraine,2022-03-27 00:00:00.000,2,,,,
Ukraine,2022-03-27 00:00:00.000,2,,,,
Ukraine,2022-03-27 00:00:00.000,3,,,,
Ukraine,2022-03-27 00:00:00.000,1,,,,
Ukraine,2022-03-27 00:00:00.000,2,,,,
Ukraine,2022-03-28 00:00:00.000,1,,,,
Ukraine,2022-03-28 00:00:00.000,2,,,,
Ukraine,2022-03-28 00:00:00.000,1,,,,
Ukraine,2022-03-29 00:00:00.000,2,,,,
Ukraine,2022-03-29 00:00:00.000,3,,,,
Ukraine,2022-03-29 00:00:00.000,1,,,,
Ukraine,2022-03-30 00:00:00.000,5,,,,
Ukraine,2022-03-30 00:00:00.000,15,,,,
Ukraine,2022-03-30 00:00:00.000,3,,,,
Ukraine,2022-03-30 00:00:00.000,3,,,,
Ukraine,2022-03-31 00:00:00.000,2,,,,
Ukraine,2022-03-31 00:00:00.000,1,,,,
Ukraine,2022-03-31 00:00:00.000,1,,,,
Ukraine,2022-04-01 00:00:00.000,0,,,,
Ukraine,2022-04-01 00:00:00.000,1,,,,
Ukraine,2022-04-01 00:00:00.000,1,,,,
Ukraine,2022-04-01 00:00:00.000,3,,,,
Ukraine,2022-04-01 00:00:00.000,1,,,,
Ukraine,2022-04-01 00:00:00.000,5,,,,
Ukraine,2022-04-01 00:00:00.000,3,,,,
Ukraine,2022-04-02 00:00:00.000,1,,,,
Ukraine,2022-04-02 00:00:00.000,0,,,,
Ukraine,2022-04-03 00:00:00.000,1,,,,
Ukraine,2022-04-03 00:00:00.000,1,,,,
Ukraine,2022-04-04 00:00:00.000,1,,,,
Ukraine,2022-04-08 00:00:00.000,1,,,,
Ukraine,2022-04-12 00:00:00.000,7,,,,
Ukraine,2022-04-14 00:00:00.000,7,,,,
Ukraine,2022-04-17 00:00:00.000,2,,,,
Ukraine,2022-04-18 00:00:00.000,4,,,,
Ukraine,2022-04-19 00:00:00.000,1,,,,
Ukraine,2022-05-02 00:00:00.000,12,,,,
Ukraine,2022-05-05 00:00:00.000,1,,,,
Ukraine,2022-05-11 00:00:00.000,0,,,,
Ukraine,2022-05-17 00:00:00.000,1,,,,
Ukraine,2022-05-17 00:00:00.000,10,,,,
Ukraine,2022-05-17 00:00:00.000,9,,,,
Ukraine,2022-05-30 00:00:00.000,10,,,,
Ukraine,2022-06-01 00:00:00.000,2,,,,
Ukraine,2022-06-06 00:00:00.000,2,,,,
Ukraine,2022-06-09 00:00:00.000,0,,,,
Ukraine,2022-06-12 00:00:00.000,2,,,,
Ukraine,2022-06-12 00:00:00.000,2,,,,
Ukraine,2022-06-12 00:00:00.000,1,,,,
Ukraine,2022-06-13 00:00:00.000,1,,,,
Ukraine,2022-06-17 00:00:00.000,1,,,,
Ukraine,2022-07-31 00:00:00.000,1,,,,
Ukraine,2022-09-01 00:00:00.000,0,,,,
Ukraine,2022-09-01 00:00:00.000,1,,,,
Ukraine,2022-09-01 00:00:00.000,0,,,,
Ukraine,2022-09-10 00:00:00.000,2,,,,
Ukraine,2022-09-10 00:00:00.000,4,,,,
Ukraine,2022-09-15 00:00:00.000,2,,,,
Ukraine,2022-09-28 00:00:00.000,1,,,,
Ukraine,2022-10-14 00:00:00.000,1,,,,
Ukraine,2022-10-20 00:00:00.000,1,,,,
Ukraine,2022-11-18 00:00:00.000,4,,,,
Ukraine,2022-11-20 00:00:00.000,2,,,,
Ukraine,2022-11-22 00:00:00.000,2,,,,
Ukraine,2023-01-11 00:00:00.000,300,,,,
Ukraine,2023-06-27 00:00:00.000,0,,,,
Ukraine,2023-07-02 00:00:00.000,0,,,,
Ukraine,2023-09-16 00:00:00.000,2,,,,
Ukraine,2023-10-27 00:00:00.000,9,,,,
Ukraine,2023-12-08 00:00:00.000,1,,,,
Ukraine,2023-12-20 00:00:00.000,1,,,,
Ukraine,2024-01-26 00:00:00.000,3,,,,
Ukraine,2024-01-27 00:00:00.000,2,,,,
Ukraine,2024-03-15 00:00:00.000,3,,,,
Ukraine,2024-04-23 00:00:00.000,1,,,,
Ukraine,2024-05-14 00:00:00.000,1,,,,
Ukraine,2024-05-15 00:00:00.000,2,,,,
Ukraine,2024-07-02 00:00:00.000,0,,,,
Ukraine,2024-10-24 00:00:00.000,2,,,,
Ukraine,2024-11-10 00:00:00.000,1,,,,
Ukraine,2024-11-11 00:00:00.000,0,,,,
Ukraine,2024-11-21 00:00:00.000,2,,,,
Ukraine,2014-01-22 00:00:00.000,5,,,,
Ukraine,2014-01-27 00:00:00.000,1,,,,
Ukraine,2014-02-18 00:00:00.000,26,,,,
Ukraine,2014-02-18 00:00:00.000,2,,,,
Ukraine,2014-02-18 00:00:00.000,6,,,,
Ukraine,2014-02-20 00:00:00.000,48,,,,
Ukraine,2014-05-02 00:00:00.000,45,,,,
Ukraine,2014-03-18 00:00:00.000,2,,,,
Ukraine,2014-04-06 00:00:00.000,1,,,,
Ukraine,2016-08-08 00:00:00.000,2,,,,
Ukraine,2022-02-16 00:00:00.000,1,,,,
Ukraine,2022-02-23 00:00:00.000,2,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
Ukraine,2022-02-24 00:00:00.000,1511,,,,
Ukraine,2022-02-24 00:00:00.000,4,,,,
Ukraine,2022-02-24 00:00:00.000,808,,,,
Ukraine,2022-02-24 00:00:00.000,0,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
Ukraine,2022-02-24 00:00:00.000,169,,,,
Ukraine,2022-02-24 00:00:00.000,111,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
Ukraine,2022-02-24 00:00:00.000,2,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
Ukraine,2022-02-24 00:00:00.000,2,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
Ukraine,2022-02-24 00:00:00.000,9,,,,
Ukraine,2022-02-24 00:00:00.000,97,,,,
Ukraine,2022-02-24 00:00:00.000,11,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
Ukraine,2022-02-24 00:00:00.000,5,,,,
Ukraine,2022-02-24 00:00:00.000,0,,,,
Ukraine,2022-02-24 00:00:00.000,11,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
Ukraine,2022-02-24 00:00:00.000,15,,,,
Ukraine,2022-02-24 00:00:00.000,113,,,,
Ukraine,2022-02-24 00:00:00.000,85,,,,
Ukraine,2022-02-24 00:00:00.000,3,,,,
Ukraine,2022-02-24 00:00:00.000,250,,,,
Ukraine,2022-02-24 00:00:00.000,0,,,,
Ukraine,2022-02-24 00:00:00.000,3,,,,
Ukraine,2022-02-24 00:00:00.000,0,,,,
Ukraine,2022-02-24 00:00:00.000,2,,,,
Ukraine,2022-02-24 00:00:00.000,185,,,,
Ukraine,2022-02-24 00:00:00.000,0,,,,
Ukraine,2022-02-24 00:00:00.000,2,,,,
Ukraine,2022-02-24 00:00:00.000,7,,,,
Ukraine,2022-02-24 00:00:00.000,96,,,,
Ukraine,2022-02-24 00:00:00.000,7,,,,
Ukraine,2022-02-24 00:00:00.000,5717,,,,
Ukraine,2022-02-24 00:00:00.000,67,,,,
Ukraine,2022-02-24 00:00:00.000,49,,,,
Ukraine,2022-02-24 00:00:00.000,3,,,,
Ukraine,2022-02-24 00:00:00.000,176,,,,
Ukraine,2022-02-24 00:00:00.000,0,,,,
Ukraine,2022-02-24 00:00:00.000,55,,,,
Ukraine,2022-02-24 00:00:00.000,174,,,,
Ukraine,2022-02-24 00:00:00.000,11,,,,
Ukraine,2022-02-24 00:00:00.000,27,,,,
Ukraine,2022-02-24 00:00:00.000,1,,,,
